review_id,manual_label,comment,updated_at
000433_p0004,plausible_object,,2026-06-24T03:02:43
000433_p0005,plausible_object,,2026-06-24T03:02:47
000433_p0006,plausible_object,,2026-06-24T03:03:01
000434_p0001,plausible_object,,2026-06-24T03:03:09
000434_p0002,plausible_object,,2026-06-24T03:03:14
000434_p0003,plausible_object,,2026-06-24T03:03:22
000435_p0001,object,,2026-06-24T03:03:29
000435_p0002,object,,2026-06-24T03:03:33
000435_p0003,object,,2026-06-24T03:03:36
000435_p0004,object,,2026-06-24T03:03:42
000435_p0005,object,,2026-06-24T03:03:46
000436_p0001,object,,2026-06-24T03:03:53
000436_p0002,object,,2026-06-24T03:03:56
000436_p0003,object,,2026-06-24T03:04:02
000436_p0004,object,,2026-06-24T03:04:05
000436_p0005,object,,2026-06-24T03:08:04
000437_p0001,plausible_object,,2026-06-24T03:08:15
000438_p0001,object,,2026-06-24T03:08:24
000438_p0002,object,,2026-06-24T03:08:27
000439_p0001,plausible_object,,2026-06-24T03:08:34
000440_p0001,object,,2026-06-24T03:08:39
000440_p0002,object,,2026-06-24T03:08:41
000440_p0003,object,,2026-06-24T03:08:46
000441_p0001,object,,2026-06-24T03:08:50
000441_p0002,object,,2026-06-24T03:08:54
000441_p0003,object,,2026-06-24T03:08:58
000441_p0004,object,,2026-06-24T03:09:01
000443_p0001,plausible_object,,2026-06-24T03:09:07
000444_p0001,object,,2026-06-24T03:09:12
000444_p0002,object,,2026-06-24T03:09:14
000444_p0003,object,,2026-06-24T03:09:16
000444_p0004,object,,2026-06-24T03:09:18
000444_p0005,object,,2026-06-24T03:09:20
000444_p0006,object,,2026-06-24T03:09:21
000444_p0007,object,,2026-06-24T03:09:23
000444_p0008,object,,2026-06-24T03:09:25
000444_p0009,object,,2026-06-24T03:09:27
000444_p0010,object,,2026-06-24T03:09:31
000444_p0011,object,,2026-06-24T03:09:34
000444_p0012,plausible_object,,2026-06-24T03:09:40
000445_p0001,object,,2026-06-24T03:09:47
000445_p0002,object,,2026-06-24T03:09:51
000445_p0003,object,,2026-06-24T03:09:55
000445_p0004,object,,2026-06-24T03:09:58
000445_p0005,object,,2026-06-24T03:10:03
000445_p0006,object,,2026-06-24T03:10:06
000445_p0007,object,,2026-06-24T03:10:11
000445_p0008,object,,2026-06-24T03:10:15
000447_p0001,plausible_object,,2026-06-24T03:10:26
000447_p0002,object,,2026-06-24T03:10:31
000449_p0001,plausible_object,,2026-06-24T03:10:36
000450_p0001,plausible_object,,2026-06-24T03:10:43
000451_p0001,plausible_object,,2026-06-24T03:10:48
000451_p0002,plausible_object,,2026-06-24T03:10:54
000451_p0003,plausible_object,,2026-06-24T03:10:58
000451_p0004,plausible_object,,2026-06-24T03:11:02
000452_p0001,object,,2026-06-24T03:11:10
000453_p0001,plausible_object,,2026-06-24T03:11:23
000453_p0002,plausible_object,,2026-06-24T03:11:28
000453_p0003,plausible_object,,2026-06-24T03:11:34
000453_p0004,plausible_object,,2026-06-24T03:11:38
000453_p0005,trash,,2026-06-24T03:11:45
000454_p0001,object,,2026-06-24T03:11:50
000454_p0002,object,,2026-06-24T03:11:55
000455_p0001,trash,,2026-06-24T03:12:00
000456_p0001,object,,2026-06-24T03:12:05
000456_p0002,plausible_object,,2026-06-24T03:12:10
000456_p0003,object,,2026-06-24T03:12:16
000456_p0004,object,,2026-06-24T03:12:20
000456_p0005,plausible_object,,2026-06-24T03:12:25
000458_p0001,object,,2026-06-24T03:12:30
000458_p0002,plausible_object,,2026-06-24T03:12:35
000458_p0003,plausible_object,,2026-06-24T03:12:39
000459_p0001,trash,,2026-06-24T03:12:46
000459_p0002,trash,,2026-06-24T03:12:51
000459_p0003,object,,2026-06-24T03:12:54
000460_p0001,object,,2026-06-24T03:12:57
000460_p0002,object,,2026-06-24T03:13:03
000460_p0003,object,,2026-06-24T03:13:07
000460_p0004,object,,2026-06-24T03:13:12
000460_p0005,plausible_object,,2026-06-24T03:13:17
000461_p0001,object,,2026-06-24T03:13:22
000463_p0001,trash,,2026-06-24T03:13:27
000463_p0002,plausible_object,,2026-06-24T03:13:32
000464_p0001,object,,2026-06-24T03:13:36
000464_p0002,object,,2026-06-24T03:13:39
000464_p0003,object,,2026-06-24T03:13:43
000464_p0004,object,,2026-06-24T03:13:47
000465_p0001,object,,2026-06-24T03:13:51
000465_p0002,plausible_object,,2026-06-24T03:13:58
000467_p0001,plausible_object,,2026-06-24T03:14:03
000467_p0002,trash,,2026-06-24T03:14:06
000468_p0001,plausible_object,,2026-06-24T03:14:16
000470_p0001,object,,2026-06-24T03:14:20
000470_p0002,object,,2026-06-24T03:14:22
000470_p0003,object,,2026-06-24T03:14:24
000471_p0001,trash,,2026-06-24T03:14:29
000471_p0002,object,,2026-06-24T03:14:33
000471_p0003,object,,2026-06-24T03:14:37
000472_p0001,object,,2026-06-24T03:14:41
000473_p0001,object,,2026-06-24T03:14:48
000473_p0002,plausible_object,,2026-06-24T03:14:53
000473_p0003,plausible_object,,2026-06-24T03:14:58
000473_p0004,plausible_object,,2026-06-24T03:15:03
000474_p0001,plausible_object,,2026-06-24T03:15:07
000475_p0001,bad_crop,,2026-06-24T03:15:15
000475_p0002,bad_crop,,2026-06-24T03:15:21
000476_p0001,object,,2026-06-24T03:15:26
000476_p0002,trash,,2026-06-24T03:15:30
000476_p0003,trash,,2026-06-24T03:15:35
000476_p0004,trash,,2026-06-24T03:15:38
000476_p0005,terrain_like,,2026-06-24T03:16:51
